selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
277,clippedbitmapshaders,IMAGE,non-blocking,missing,gpu,rendered-no-score,other,,,,10,0,,0.0,,reference-missing,False,True,300,300
278,color_cube_cf_rt,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,5,0,0.0003814697265625,0.0,True,,True,True,512,512
279,colorwheel_alphatypes,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,4,0,30.096435546875,0.0,True,,True,True,256,128
280,colorwheel,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,1539,0,50.187174479166664,0.0,True,,True,True,384,256
281,colorspace2,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,896,640
282,colorspace,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,896,640
283,compositor_quads_image,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,1,0,70.00516819090848,0.0,True,,True,True,955,699
284,coordclampshader,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,1,0,38.83559959242472,0.0,True,,True,True,1074,795
285,copyTo4444,IMAGE,non-blocking,trusted,refusal,refused,images,unsupported.image.pixel.format,unsupported.image.pixel.format,unsupported.image.pixel.format,0,0,,0.0,,generated-render-missing,True,False,360,180
286,crbug_224618,IMAGE,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,0.0,,generated-render-missing,True,False,800,800
287,deferred_shader_rt,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.material.non_solid,unsupported.core_primitive.material.non_solid,unsupported.core_primitive.material.non_solid,0,0,,0.0,,generated-render-missing,True,False,150,50
288,bitmaprect_s,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,0,0,,0.0,,generated-render-missing,True,False,640,480
289,bitmaprect_i,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,0,0,,0.0,,generated-render-missing,True,False,640,480
290,3x3bitmaprect,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,2,0,0.0009765625,0.0,True,,True,True,640,480
291,draw_bitmap_rect_skbug4734,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,2,0,45.3125,0.0,True,,True,True,64,64
292,drawminibitmaprect,IMAGE,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,0.0,,generated-render-missing,True,False,1024,1024
293,drawimagerect_filter,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,180,60
294,encode-alpha-jpeg,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,1,0,0.0,0.0,True,,True,True,400,200
295,encode-color-types-webp-lossless,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,7,0,45.01953125,0.0,True,,True,True,896,128
296,encode-platform,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,1,0,14.018351236979168,0.0,True,,True,True,1280,768
297,encode-srgb-png,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,19,0,43.768310546875,0.0,True,,True,True,256,1920
298,filterbug,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,150,150
299,filterindiabox,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,1,0,96.47285067873304,0.0,True,,True,True,680,130
300,flight_animated_image,IMAGE,non-blocking,trusted,refusal,refused,compositing,unsupported.surface.prepared.mixed-composite-topology,unsupported.surface.prepared.mixed-composite-topology,unsupported.surface.prepared.mixed-composite-topology,0,0,,0.0,,generated-render-missing,True,False,304,304
301,flippity,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,0,0,,0.0,,generated-render-missing,True,False,1152,768
302,format4444,IMAGE,non-blocking,trusted,refusal,refused,images,unsupported.image.pixel.format,unsupported.image.pixel.format,unsupported.image.pixel.format,0,0,,0.0,,generated-render-missing,True,False,64,64
