gm,refusalCode,rootCauseBucket,item
aaxfermodes,unsupported.composite.picture.budget,unsupported composite operation,none
aarectmodes,unsupported.composite.preflight,unsupported composite operation,none
arithmode_blender,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
backdrop_hintrect_clipping,unsupported.composite.paint,unsupported composite operation,none
backdrop_imagefilter_croprect,unsupported.composite.paint,unsupported composite operation,none
badpaint,unsupported.material.source_unimplemented,unsupported material feature,none
clipshadermatrix,unsupported.composite.paint,unsupported composite operation,none
clip_shader_nested,unsupported.composite.paint,unsupported composite operation,none
colorfilterimagefilter,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
colorfilterimagefilter_layer,unsupported.composite.paint,unsupported composite operation,none
colorfiltershader,unsupported.material.gradient_tile_mode_unsupported,unsupported material feature,none
lightingcolorfilter,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
colormatrix,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
colorcomposefilter_alpha,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
colorcomposefilter_wacky,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
compare_atlas_vertices,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
composeshader_alpha,unsupported.material.source_unimplemented,unsupported material feature,none
composeshader_bitmap,unsupported.material.source_unimplemented,unsupported material feature,none
composeshader_bitmap_lm,unsupported.material.source_unimplemented,unsupported material feature,none
composeshader,unsupported.material.source_unimplemented,unsupported material feature,none
composeshader_grid,unsupported.composite.paint,unsupported composite operation,none
composeCFIF,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
compositor_quads_color,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
crbug_1162942,unsupported.core_primitive.geometry.invalid,unsupported core-primitive execution feature,none
crbug_1177833,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
crbug_918512,unsupported.composite.paint,unsupported composite operation,none
destcolor,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
discard,failed.frame-coordinator.preflight,runtime failure class,none
displacement,unsupported.image.native_binding,unsupported image/sampler feature,none
draw-atlas-colors,unsupported.image.atlas.source_blend,unsupported image/sampler feature,none
draw-atlas,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
